Gene stable ID	Human gene stable ID	Human gene name	Human homology type	Human orthology confidence [0 low, 1 high]	%id. target Human gene identical to query gene	%id. query gene identical to target Human gene	Gene name
ENSMUSG00000064372							mt-Tp
ENSMUSG00000064371							mt-Tt
ENSMUSG00000064370	ENSG00000198727	MT-CYB	ortholog_one2one	1	77.9528	78.1579	mt-Cytb
ENSMUSG00000064369							mt-Te
ENSMUSG00000064368	ENSG00000198695	MT-ND6	ortholog_one2one	1	52.907	52.2989	mt-Nd6
ENSMUSG00000064367	ENSG00000198786	MT-ND5	ortholog_one2many	1	63.4267	63.8474	mt-Nd5
ENSMUSG00000064366							mt-Tl2
ENSMUSG00000064365							mt-Ts2
ENSMUSG00000064364							mt-Th
ENSMUSG00000064363	ENSG00000198886	MT-ND4	ortholog_one2one	1	66.8845	66.8845	mt-Nd4
ENSMUSG00000065947	ENSG00000212907	MT-ND4L	ortholog_one2one	1	66.3265	66.3265	mt-Nd4l
ENSMUSG00000064361							mt-Tr
ENSMUSG00000064360	ENSG00000198840	MT-ND3	ortholog_one2one	1	66.087	66.087	mt-Nd3
ENSMUSG00000064359							mt-Tg
ENSMUSG00000064358	ENSG00000198938	MT-CO3	ortholog_one2one	1	86.9732	86.9732	mt-Co3
ENSMUSG00000064357	ENSG00000198899	MT-ATP6	ortholog_one2one	1	75.6637	75.6637	mt-Atp6
ENSMUSG00000064356	ENSG00000228253	MT-ATP8	ortholog_one2one	0	46.2687	45.5882	mt-Atp8
ENSMUSG00000064355							mt-Tk
ENSMUSG00000064354	ENSG00000198712	MT-CO2	ortholog_one2one	1	71.3656	71.3656	mt-Co2
ENSMUSG00000064353							mt-Td
ENSMUSG00000064352							mt-Ts1
ENSMUSG00000064351	ENSG00000198804	MT-CO1	ortholog_one2one	1	90.6615	90.8382	mt-Co1
ENSMUSG00000064350							mt-Ty
ENSMUSG00000064349							mt-Tc
ENSMUSG00000064348							mt-Tn
ENSMUSG00000064347							mt-Ta
ENSMUSG00000064346							mt-Tw
ENSMUSG00000064345	ENSG00000198763	MT-ND2	ortholog_one2one	1	57.3913	57.0605	mt-Nd2
ENSMUSG00000064344							mt-Tm
ENSMUSG00000064343							mt-Tq
ENSMUSG00000064342							mt-Ti
ENSMUSG00000064341	ENSG00000198888	MT-ND1	ortholog_one2one	1	77.044	77.044	mt-Nd1
ENSMUSG00000064340							mt-Tl1
ENSMUSG00000064339							mt-Rnr2
ENSMUSG00000064338							mt-Tv
ENSMUSG00000064337							mt-Rnr1
ENSMUSG00000064336							mt-Tf
ENSMUSG00000088748							Gm23219
ENSMUSG00000089534							Gm25166
ENSMUSG00000088779							Gm26034
ENSMUSG00000105908							Mir6920
ENSMUSG00000084609	ENSG00000199801	Y_RNA	ortholog_one2one	0	56.3492	65.1376	Gm22199
ENSMUSG00000065845							Gm25189
ENSMUSG00000087716	ENSG00000281394	SCARNA4	ortholog_many2many	0	62.0968	59.6899	Gm25825
ENSMUSG00000087716	ENSG00000281516	SCARNA4	ortholog_many2many	0	57.2581	57.7236	Gm25825
ENSMUSG00000065807							Gm23038
ENSMUSG00000094038							Gm24657
ENSMUSG00000065484							Mir130a
ENSMUSG00000089028							Gm25010
ENSMUSG00000089504							Gm23475
ENSMUSG00000093173							Gm23872
ENSMUSG00000105768							Gm44495
ENSMUSG00000098349							Gm27711
ENSMUSG00000105435							Gm44355
ENSMUSG00000076271							Mir697
ENSMUSG00000077356							Gm26288
ENSMUSG00000089477							Gm25365
ENSMUSG00000095175							Gm22722
ENSMUSG00000021366	ENSG00000095951	HIVEP1	ortholog_one2one	1	71.5774	70.7873	Hivep1
ENSMUSG00000087815							Gm22491
ENSMUSG00000092130							D030025P21Rik
ENSMUSG00000089117	ENSG00000252031	RNU6-561P	ortholog_one2many	0	63.1068	63.7255	Gm25903
ENSMUSG00000099300							Mir6356
ENSMUSG00000084532	ENSG00000252964	RNA5SP400	ortholog_one2one	0	56.8807	55.8559	n-R5s218
ENSMUSG00000088980							Mir669m-2
ENSMUSG00000094935	ENSG00000163155	LYSMD1	ortholog_one2many	0	84.5133	84.141	Gm9726
ENSMUSG00000064455	ENSG00000199837	RNA5SP71	ortholog_one2one	0	80	66.6667	n-R5s56
ENSMUSG00000084459							Gm24598
ENSMUSG00000093302							Gm23801
ENSMUSG00000048612	ENSG00000138119	MYOF	ortholog_one2one	1	93.9941	93.4013	Myof
ENSMUSG00000095653							Gm21818
ENSMUSG00000099291	ENSG00000199927	ACEA_U3	ortholog_many2many	0	80.5556	80.1843	Rnu3b3
ENSMUSG00000099291	ENSG00000277947	SNORD3D	ortholog_many2many	0	84.2593	83.4862	Rnu3b3
ENSMUSG00000077413	ENSG00000212611	SNORD30	ortholog_one2one	0	66.6667	65.7143	Gm23389
ENSMUSG00000046388							Gm9806
ENSMUSG00000047168							Gm6684
ENSMUSG00000089597	ENSG00000212237	RNA5SP18	ortholog_one2one	0	47.4074	52.8926	Gm24976
ENSMUSG00000080486	ENSG00000221500	SNORD100	ortholog_one2one	0	83.7838	81.5789	Snord100
ENSMUSG00000089267							Gm22890
ENSMUSG00000057605							Gm6807
ENSMUSG00000074885							Gm10782
ENSMUSG00000098478							Gm27851
ENSMUSG00000065708							Gm22826
ENSMUSG00000098858							Mir6541
ENSMUSG00000084478	ENSG00000273744	U4	ortholog_one2one	0	71.9512	67.8161	Gm26425
ENSMUSG00000049521	ENSG00000128283	CDC42EP1	ortholog_one2one	1	69.9267	73.1458	Cdc42ep1
ENSMUSG00000088709	ENSG00000252087	RN7SKP248	ortholog_one2many	0	40	41.3115	Gm25557
ENSMUSG00000094346							Gm21746
ENSMUSG00000093780							Gm22395
ENSMUSG00000048087	ENSG00000101444	AHCY	ortholog_one2many	0	96.9907	96.9907	Gm4737
ENSMUSG00000092008	ENSG00000165841	CYP2C19	ortholog_many2many	0	66.5988	66.7347	Cyp2c69
ENSMUSG00000092008	ENSG00000138109	CYP2C9	ortholog_many2many	0	66.5988	66.7347	Cyp2c69
ENSMUSG00000070081							Mir505
ENSMUSG00000092653							Gm25243
ENSMUSG00000096883	ENSG00000234965	SHISA8	ortholog_one2one	1	68.1704	68.5139	Shisa8
ENSMUSG00000093036							Mir5127
ENSMUSG00000054945							Gm9958
ENSMUSG00000099287	ENSG00000273974	FTX_2	ortholog_one2one	0	65.5914	64.8936	Gm27987
ENSMUSG00000035129							Gm6781
ENSMUSG00000078117							Gm16485
ENSMUSG00000094559	ENSG00000100197	CYP2D6	ortholog_many2many	1	68.0556	69.0141	Cyp2d34
ENSMUSG00000094559	ENSG00000205702	CYP2D7	ortholog_many2many	1	65.4762	64.0777	Cyp2d34
ENSMUSG00000055480	ENSG00000167232	ZNF91	ortholog_many2many	0	46.1436	29.1352	Zfp458
ENSMUSG00000055480	ENSG00000160321	ZNF208	ortholog_many2many	0	53.3245	31.3281	Zfp458
ENSMUSG00000055480	ENSG00000182903	ZNF721	ortholog_many2many	0	35.9043	29.2524	Zfp458
ENSMUSG00000055480	ENSG00000213973	ZNF99	ortholog_many2many	0	35.5053	30.9028	Zfp458
ENSMUSG00000055480	ENSG00000196247	ZNF107	ortholog_many2many	0	40.0266	35.3286	Zfp458
ENSMUSG00000055480	ENSG00000196350	ZNF729	ortholog_many2many	0	53.7234	32.2684	Zfp458
ENSMUSG00000073492							Gm10521
ENSMUSG00000056632	ENSG00000134757	DSG3	ortholog_one2one	1	73.2125	72.7728	Dsg3
ENSMUSG00000078160							Gm16503
ENSMUSG00000039540							4921524L21Rik
ENSMUSG00000084443							n-R5s214
ENSMUSG00000088668	ENSG00000201813	RNU6-915P	ortholog_one2one	0	72.8155	72.8155	Gm25335
ENSMUSG00000084649							n-R5s76
ENSMUSG00000093106							Gm25534
ENSMUSG00000089224	ENSG00000252076	RN7SKP196	ortholog_one2many	0	44.7917	24.9275	Gm22075
ENSMUSG00000089224	ENSG00000252837	RN7SKP99	ortholog_one2many	0	41.6667	26.0586	Gm22075
ENSMUSG00000011589	ENSG00000105255	FSD1	ortholog_one2one	1	93.1452	93.1452	Fsd1
ENSMUSG00000098326	ENSG00000274709	Evf-2_5p	ortholog_one2one	0	88.3562	90.8451	Dlx6os1
ENSMUSG00000099126	ENSG00000277922	FTX_5	ortholog_one2one	0	69.7561	65.5963	Gm27321
ENSMUSG00000095677	ENSG00000146425	DYNLT1	ortholog_one2many	1	93.8053	93.8053	Dynlt1f
ENSMUSG00000088649							Gm26262
ENSMUSG00000088076							Gm22815
ENSMUSG00000088978							Gm23757
ENSMUSG00000089487							Gm24736
ENSMUSG00000098662	ENSG00000273570	RMST_5	ortholog_one2one	0	86.5079	86.5079	Gm27582
ENSMUSG00000084650	ENSG00000207269	RN7SKP62	ortholog_one2many	0	66.9841	64.1337	Gm22718
ENSMUSG00000063787	ENSG00000172586	CHCHD1	ortholog_one2one	1	83.0508	83.0508	Chchd1
ENSMUSG00000070126							Mir199a-2
ENSMUSG00000054843	ENSG00000107518	ATRNL1	ortholog_one2one	1	96.0813	96.0116	Atrnl1
ENSMUSG00000084523							Mir1903
ENSMUSG00000098749	ENSG00000277694	HOTAIRM1_5	ortholog_one2one	0	74.8252	73.7931	Gm27477
ENSMUSG00000096170							n-R5s146
ENSMUSG00000024197	ENSG00000105355	PLIN3	ortholog_one2one	1	75.0572	75.576	Plin3
ENSMUSG00000065450							Mir448
ENSMUSG00000006818	ENSG00000112096	SOD2	ortholog_one2one	1	90.0901	90.0901	Sod2
ENSMUSG00000089259							Gm25712
ENSMUSG00000077755	ENSG00000264549	SNORD95	ortholog_one2one	0	70.5882	70.5882	Gm23531
ENSMUSG00000105839							Gm44456
ENSMUSG00000095842							Gm24302
ENSMUSG00000092840							Gm24331
ENSMUSG00000088666	ENSG00000222741	RNA5SP229	ortholog_one2one	0	52.381	66.6667	Gm25329
ENSMUSG00000098553							Mir3569
ENSMUSG00000051412	ENSG00000124333	VAMP7	ortholog_one2one	1	70	59.2308	Vamp7
ENSMUSG00000095539							Gm25287
ENSMUSG00000089130							Gm24770
ENSMUSG00000075122	ENSG00000121594	CD80	ortholog_one2one	0	37.5817	39.9306	Cd80
ENSMUSG00000089111	ENSG00000252917	SNORA74	ortholog_one2one	0	58.4	47.4026	Gm25907
ENSMUSG00000093495							Gm23368
